0.05/run.par.log:DATA:	test status	p-value	test pop	ref A	ref B	2-ref z-score	1-ref z-score A	1-ref z-score B	max decay diff %	2-ref decay	2-ref amp_exp	1-ref decay A	1-ref amp_exp A	1-ref decay B	1-ref amp_exp B
0.5/run.par.log:DATA:	success	7.6e-10	QCC	GIR	JBC	6.57	5.78	6.15	9%	27.00 +/- 4.11	0.00042120 +/- 0.00005771	26.47 +/- 4.58	0.00015275 +/- 0.00002272	28.82 +/- 4.68	0.00007957 +/- 0.00001047
0.5/run.par.log:DATA:	success (warning: decay rates inconsistent)	6.2e-11	QCC	GIR	JER	6.93	5.78	8.18	25%	24.75 +/- 3.57	0.00038654 +/- 0.00005123	26.47 +/- 4.58	0.00015275 +/- 0.00002272	31.87 +/- 3.90	0.00008858 +/- 0.00001009
0.5/run.par.log:DATA:	success	7.4e-11	QCC	GIR	LIM	6.91	5.78	8.30	23%	25.65 +/- 3.71	0.00039429 +/- 0.00005385	26.47 +/- 4.58	0.00015275 +/- 0.00002272	32.30 +/- 3.89	0.00008728 +/- 0.00000945
0.5/run.par.log:DATA:	success (warning: decay rates inconsistent)	8.4e-13	QCC	NEL	FLV	7.52	6.59	9.98	29%	27.49 +/- 3.66	0.00042296 +/- 0.00005543	29.69 +/- 4.18	0.00016943 +/- 0.00002570	36.82 +/- 3.69	0.00010222 +/- 0.00000958
0.5/run.par.log:DATA:	success (warning: decay rates inconsistent)	2.4e-11	QCC	NEL	HOL	7.07	6.59	7.32	34%	23.07 +/- 3.24	0.00034484 +/- 0.00004881	29.69 +/- 4.18	0.00016943 +/- 0.00002570	20.96 +/- 2.86	0.00005568 +/- 0.00000685
0.5/run.par.log:DATA:	success	4.4e-12	QCC	NEL	JBC	7.30	6.59	6.15	3%	29.24 +/- 4.01	0.00045440 +/- 0.00006130	29.69 +/- 4.18	0.00016943 +/- 0.00002570	28.82 +/- 4.68	0.00007957 +/- 0.00001047
0.5/run.par.log:DATA:	success	1.3e-12	QCC	NEL	JER	7.46	6.59	8.18	17%	26.99 +/- 3.57	0.00041772 +/- 0.00005601	29.69 +/- 4.18	0.00016943 +/- 0.00002570	31.87 +/- 3.90	0.00008858 +/- 0.00001009
0.5/run.par.log:DATA:	success	3.8e-12	QCC	NEL	LIM	7.32	6.59	8.30	15%	27.90 +/- 3.70	0.00042588 +/- 0.00005820	29.69 +/- 4.18	0.00016943 +/- 0.00002570	32.30 +/- 3.89	0.00008728 +/- 0.00000945
0.5/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	FLV	HOL	0.00	9.98	7.32	160%	4.08 +/- 298.40	0.00000006 +/- 0.00003032	36.82 +/- 3.69	0.00010222 +/- 0.00000958	20.96 +/- 2.86	0.00005568 +/- 0.00000685
0.5/run.par.log:DATA:	failure (warning: decay rates inconsistent)	1.1	QCC	FLV	JBC	1.78	9.98	6.15	99%	12.48 +/- 6.56	0.00000048 +/- 0.00000027	36.82 +/- 3.69	0.00010222 +/- 0.00000958	28.82 +/- 4.68	0.00007957 +/- 0.00001047
0.5/run.par.log:DATA:	failure	5.4	QCC	FLV	JER	0.91	9.98	8.18	14%	34.04 +/- 37.32	0.00000041 +/- 0.00000043	36.82 +/- 3.69	0.00010222 +/- 0.00000958	31.87 +/- 3.90	0.00008858 +/- 0.00001009
0.5/run.par.log:DATA:	failure (warning: decay rates inconsistent)	11	QCC	FLV	LIM	0.32	9.98	8.30	137%	172.01 +/- 290.24	0.00000287 +/- 0.00000909	36.82 +/- 3.69	0.00010222 +/- 0.00000958	32.30 +/- 3.89	0.00008728 +/- 0.00000945
0.5/run.par.log:DATA:	failure (warning: decay rates inconsistent)	6	QCC	HOL	JBC	0.84	7.32	6.15	38%	19.65 +/- 23.40	0.00000059 +/- 0.00000061	20.96 +/- 2.86	0.00005568 +/- 0.00000685	28.82 +/- 4.68	0.00007957 +/- 0.00001047
0.5/run.par.log:DATA:	failure (warning: decay rates inconsistent)	23	QCC	HOL	JER	-0.67	7.32	8.18	41%	24.52 +/- 35.04	-0.00000037 +/- 0.00000055	20.96 +/- 2.86	0.00005568 +/- 0.00000685	31.87 +/- 3.90	0.00008858 +/- 0.00001009
0.5/run.par.log:DATA:	failure (warning: decay rates inconsistent)	5.1	QCC	HOL	LIM	0.95	7.32	8.30	132%	6.62 +/- 6.95	0.00000019 +/- 0.00000015	20.96 +/- 2.86	0.00005568 +/- 0.00000685	32.30 +/- 3.89	0.00008728 +/- 0.00000945
0.5/run.par.log:DATA:	failure (warning: decay rates inconsistent)	0.6	QCC	JBC	JER	2.05	6.15	8.18	67%	15.96 +/- 6.46	0.00000059 +/- 0.00000029	28.82 +/- 4.68	0.00007957 +/- 0.00001047	31.87 +/- 3.90	0.00008858 +/- 0.00001009
0.5/run.par.log:DATA:	failure	1.9	QCC	JBC	LIM	1.52	6.15	8.30	22%	35.85 +/- 19.51	0.00000124 +/- 0.00000081	28.82 +/- 4.68	0.00007957 +/- 0.00001047	32.30 +/- 3.89	0.00008728 +/- 0.00000945
0.5/run.par.log:DATA:	failure	15	QCC	JER	LIM	0.00	8.18	8.30	15%	27.88 +/- inf	0.00000036 +/- inf	31.87 +/- 3.90	0.00008858 +/- 0.00001009	32.30 +/- 3.89	0.00008728 +/- 0.00000945
